name,hostStar,period,separation,radius,mass,massProvenance,detectionMethod,discoveryYear,facility,temperature,density,eccentricity,insolation,starSpectralType,starTemperature,starRadius,starMass,distance,ra,dec,planetType
Kepler-643 b,Kepler-643,16.33889626,0.12601483075506031,10.16,,,transit-kepler,2016,Kepler,,,,,,4908.0,2.52,1.0,1063.58,290.3272423,42.8982283,cold-jupiter
Kepler-644 b,Kepler-644,3.173917103,0.048276116439709756,3.15,,,transit-kepler,2016,Kepler,,,,,,6747.0,1.81,1.49,1318.05,295.4757022,43.4931119,neptune-like
Kepler-645 b,Kepler-645,3.275822621,0.044962065070936794,2.1,,,transit-kepler,2016,Kepler,,,,,,6170.0,1.21,1.13,1173.57,290.3227098,44.0358625,sub-neptune
Kepler-646 b,Kepler-646,15.87364565,0.12065684193954647,1.99,,,transit-kepler,2016,Kepler,,,,,,5634.0,0.91,0.93,451.794,290.4714596,44.3870422,super-earth
Kepler-647 b,Kepler-647,16.2254649,0.12667289361601147,1.17,,,transit-kepler,2016,Kepler,,,,,,6020.0,1.07,1.03,1087.87,284.7882977,44.5916225,rocky
Kepler-647 c,Kepler-647,29.6663,0.1918271313692873,4.00135002,,,transit-kepler,2020,Kepler,,,,,,5906.74,1.54571,1.07,1087.87,284.7882977,44.5916225,neptune-like
Kepler-648 b,Kepler-648,17.4211749,0.13367634952633178,3.22,,,transit-kepler,2016,Kepler,,,,,,5741.0,0.98,1.05,636.03,283.8996207,45.0169137,neptune-like
Kepler-649 b,Kepler-649,29.90722674,0.18665853684970146,2.26,,,transit-kepler,2016,Kepler,,,,,,5871.0,0.94,0.97,513.748,285.6558336,45.0794516,neptune-like
Kepler-65 b,Kepler-65,2.15491,0.035,1.42,,,transit-kepler,2012,Kepler,,,,,,6211.0,1.41,1.25,303.728,288.6887221,41.1511076,super-earth
Kepler-65 c,Kepler-65,5.859944,0.068,2.58,,,transit-kepler,2012,Kepler,,,,,,6211.0,1.41,1.25,303.728,288.6887221,41.1511076,neptune-like
Kepler-65 d,Kepler-65,8.13123,0.084,1.52,,,transit-kepler,2012,Kepler,,,,,,6211.0,1.41,1.25,303.728,288.6887221,41.1511076,super-earth
Kepler-65 e,Kepler-65,258.8,0.8556987417264472,,260.0,Mass,radial-velocity,2019,W. M. Keck Observatory,,,0.283,,,,1.437,1.248,303.728,288.6887221,41.1511076,cold-jupiter
Kepler-650 b,Kepler-650,3.032145588,0.04206437774221833,2.96,,,transit-kepler,2016,Kepler,,,,,,5849.0,1.35,1.08,884.378,289.0009451,45.1542968,neptune-like
Kepler-651 b,Kepler-651,21.38521506,0.1466486966243624,2.37,,,transit-kepler,2016,Kepler,,,,,,5522.0,0.87,0.92,509.408,287.3327284,46.2034366,neptune-like
Kepler-652 b,Kepler-652,4.182002531,0.0502867176802716,2.49,,,transit-kepler,2016,Kepler,,,,,,5490.0,0.88,0.97,394.55,288.0080899,46.4736108,neptune-like
Kepler-653 b,Kepler-653,14.70748976,0.11825847582876386,1.95,,,transit-kepler,2016,Kepler,,,,,,5665.0,1.19,1.02,595.634,282.2130447,46.7177898,super-earth
Kepler-653 c,Kepler-653,0.900376476,0.0183691615657104,0.78,,,transit-kepler,2016,Kepler,,,,,,5665.0,1.19,1.02,595.634,282.2130447,46.7177898,rocky
Kepler-654 b,Kepler-654,13.72465129,0.11366284159361832,2.07,,,transit-kepler,2016,Kepler,,,,,,5865.0,1.11,1.04,974.124,297.0683931,46.8342497,sub-neptune
Kepler-655 b,Kepler-655,46.4063358,0.26478333582359326,2.71,,,transit-kepler,2016,Kepler,,,,,,6170.0,1.24,1.15,752.562,297.2590664,46.843165,neptune-like
Kepler-656 b,Kepler-656,1.260259094,0.021714303017274773,3.12,,,transit-kepler,2016,Kepler,,,,,,5281.0,0.82,0.86,890.352,288.3278778,47.381538,neptune-like
Kepler-656 c,Kepler-656,5.25449393,0.0602,1.41,,,transit-kepler,2023,Kepler,975.0,,0.0,213.25,,5550.0,0.954,1.05,890.352,288.3278778,47.381538,super-earth
Kepler-657 b,Kepler-657,24.54350418,0.16583315147869648,3.52,,,transit-kepler,2016,Kepler,,,,,,5808.0,1.01,1.01,1691.88,291.1973006,47.3077545,neptune-like
Kepler-658 b,Kepler-658,1.287076762,0.01985133261907649,1.63,,,transit-kepler,2016,Kepler,,,,,,4103.0,0.6,0.63,388.384,282.983621,47.5783897,super-earth
Kepler-659 b,Kepler-659,17.671796,0.12274467877486848,2.5,,,transit-kepler,2016,Kepler,,,,,,4870.0,0.74,0.79,722.64,287.6081777,47.5096893,neptune-like
Kepler-66 b,Kepler-66,17.815815,0.1352,2.8,,,transit-kepler,2013,Kepler,,,,,G0 V,5962.0,0.966,1.038,1202.96,293.9815378,46.687728,neptune-like
Kepler-660 b,Kepler-660,9.27358194,0.07848595502511731,2.57,,,transit-kepler,2016,Kepler,,,,,,4779.0,0.71,0.75,568.431,288.1382985,47.7245642,neptune-like
Kepler-661 b,Kepler-661,6.029301321,0.05756394144872799,3.07,,,transit-kepler,2016,Kepler,,,,,,4483.0,0.67,0.7,534.788,283.7107463,47.8631748,neptune-like
Kepler-662 b,Kepler-662,21.67697486,0.14065267514489477,2.18,,,transit-kepler,2016,Kepler,,,,,,4897.0,0.74,0.79,815.637,290.4650801,47.9291252,neptune-like
Kepler-663 b,Kepler-663,4.99678284,0.05439591890280219,2.6,,,transit-kepler,2016,Kepler,,,,,,5264.0,0.82,0.86,1063.09,297.8082232,47.9466342,neptune-like
Kepler-664 b,Kepler-664,2.525593315,0.036415749625700426,2.66,,,transit-kepler,2016,Kepler,,,,,,5754.0,1.02,1.01,1210.12,288.7549029,48.226203,neptune-like
Kepler-665 b,Kepler-665,16.01310205,0.11493858906111779,2.6,,,transit-kepler,2016,Kepler,,,,,,4913.0,0.74,0.79,612.838,297.0255947,48.4785669,neptune-like
Kepler-666 b,Kepler-666,4.49876092,0.05386180059277237,2.4,,,transit-kepler,2016,Kepler,,,,,,5887.0,1.05,1.03,1508.71,298.4568899,48.7915925,neptune-like
Kepler-667 b,Kepler-667,41.43962808,0.22710718819923204,4.73,,,transit-kepler,2016,Kepler,,,,,,5327.0,0.87,0.91,2302.45,295.5549918,49.0172956,sub-neptune
Kepler-668 b,Kepler-668,8.35390639,0.07692001095835194,2.7,,,transit-kepler,2016,Kepler,,,,,,5352.0,0.82,0.87,784.618,285.4992845,49.2772713,neptune-like
Kepler-669 b,Kepler-669,4.125546869,0.05274243147358461,4.83,,,transit-kepler,2016,Kepler,,,,,,6038.0,1.2,1.15,2063.41,291.9361615,49.2539473,sub-neptune
Kepler-67 b,Kepler-67,15.7259,0.1171,2.94,,,transit-kepler,2013,Kepler,,,,,G9 V,5331.0,0.778,0.865,1131.19,294.1533505,46.1663976,neptune-like
Kepler-670 b,Kepler-670,2.816504852,0.03890080461684659,13.18,,,transit-kepler,2016,Kepler,,,,,,5709.0,0.99,0.99,939.744,297.0154644,49.2252988,hot-jupiter
Kepler-671 b,Kepler-671,4.280958588,0.05107689003877723,2.69,,,transit-kepler,2016,Kepler,,,,,,5624.0,0.95,0.97,1168.26,294.2657519,49.3140933,neptune-like
Kepler-672 b,Kepler-672,38.3774623,0.21889300725979638,2.5,,,transit-kepler,2016,Kepler,,,,,,5627.0,0.92,0.95,1033.93,291.7219993,49.4808492,neptune-like
Kepler-673 b,Kepler-673,3.728731093,0.045096356023876384,6.54,,,transit-kepler,2016,Kepler,,,,,,5355.0,0.84,0.88,918.21,290.7857595,50.0540561,hot-jupiter
Kepler-674 b,Kepler-674,2.243381847,0.0282873589396489,1.69,,,transit-kepler,2016,Kepler,,,,,,4192.0,0.57,0.6,342.254,285.1761864,50.1496897,super-earth
Kepler-675 b,Kepler-675,2.33743801,0.03186463504110137,2.44,,,transit-kepler,2016,Kepler,,,,,,4945.0,0.75,0.79,665.68,293.8334488,50.2303479,neptune-like
Kepler-676 b,Kepler-676,11.59822172,0.08011690803522747,3.04,,,transit-kepler,2016,Kepler,,,,,,3701.0,0.49,0.51,295.196,296.2220259,50.2873626,neptune-like
Kepler-677 b,Kepler-677,6.57531678,0.06868854295743226,5.38,,,transit-kepler,2016,Kepler,,,,,,5723.0,0.99,1.0,1954.08,290.0980478,50.3215731,sub-neptune
Kepler-678 b,Kepler-678,7.27503724,0.07197902318772957,5.14,,,transit-kepler,2016,Kepler,,,,,,5520.0,0.91,0.94,1826.15,295.4552577,50.4945093,sub-neptune
Kepler-679 b,Kepler-679,12.39358604,0.10005625842867817,3.01,,,transit-kepler,2016,Kepler,,,,,,5403.0,0.84,0.87,922.244,296.0213374,50.5678019,neptune-like
Kepler-68 b,Kepler-68,5.39875259,0.06135,2.357,8.03,Mass,transit-kepler,2013,Kepler,1275.0,3.37,0.09,441.0,,5847.0,1.2564,1.057,144.166,291.0323102,49.0402129,sub-neptune
Kepler-68 c,Kepler-68,9.605027,0.09008,0.979,1.3,Mass,transit-kepler,2013,Kepler,1052.0,7.5,0.099,204.0,,5847.0,1.2564,1.057,144.166,291.0323102,49.0402129,rocky
Kepler-68 d,Kepler-68,632.62,1.469,,238.05347684,Msini,radial-velocity,2013,W. M. Keck Observatory,,,0.102,,,5847.0,1.2564,1.057,144.166,291.0323102,49.0402129,cold-jupiter
Kepler-68 e,Kepler-68,3455.0,4.6,,86.4493267,Msini,radial-velocity,2023,Roque de los Muchachos Observatory,,,0.33,,,5847.0,1.2564,1.057,144.166,291.0323102,49.0402129,sub-neptune
Kepler-680 b,Kepler-680,3.689926291,0.04794679285740368,2.42,,,transit-kepler,2016,Kepler,,,,,,5890.0,1.11,1.08,1492.48,291.622381,50.6181793,neptune-like
Kepler-681 b,Kepler-681,26.39435646,0.16105611951862098,3.08,,,transit-kepler,2016,Kepler,,,,,,5021.0,0.76,0.8,686.923,289.3997364,51.2502428,neptune-like
Kepler-682 b,Kepler-682,12.611906672,0.10313109405007932,7.37,,,transit-kepler,2016,Kepler,,,,,,5559.0,0.89,0.92,1979.25,289.1122204,51.7373589,cold-jupiter
Kepler-683 b,Kepler-683,2.539183179,0.03593295632547862,1.97,,,transit-kepler,2016,Kepler,,,,,,5703.0,0.95,0.96,1023.07,291.4399598,37.9056293,super-earth
Kepler-684 b,Kepler-684,6.770302008,0.06737134440124098,3.36,,,transit-kepler,2016,Kepler,,,,,,5493.0,0.86,0.89,1731.27,290.8704935,38.2735978,neptune-like
Kepler-685 b,Kepler-685,1.6255222,0.028014063791387066,10.58,,,transit-kepler,2016,Kepler,,,,,,5963.0,1.16,1.11,938.715,293.8719143,38.4229184,hot-jupiter
Kepler-686 b,Kepler-686,1.594745463,0.026168372806028562,12.15,,,transit-kepler,2016,Kepler,,,,,,5649.0,0.92,0.94,1490.94,285.213819,39.027466,hot-jupiter
Kepler-687 b,Kepler-687,20.50586978,0.13438647283093588,3.52,,,transit-kepler,2016,Kepler,,,,,,4841.0,0.73,0.77,633.66,289.3154576,39.1532911,neptune-like
Kepler-688 b,Kepler-688,3.895936844,0.04813080744809387,9.76,,,transit-kepler,2016,Kepler,,,,,,5715.0,0.96,0.98,1357.75,294.6552312,39.3083446,hot-jupiter
Kepler-689 b,Kepler-689,22.36656079,0.15055197395753717,2.89,,,transit-kepler,2016,Kepler,,,,,,5518.0,0.88,0.91,1131.73,294.7106347,39.5216975,neptune-like
Kepler-69 b,Kepler-69,13.722341,0.094,2.24,,,transit-kepler,2013,Kepler,779.0,,0.16,,G4 V,5638.0,0.93,0.81,730.625,293.2609013,44.8688656,neptune-like
Kepler-69 c,Kepler-69,242.4613,0.64,1.71,,,transit-kepler,2013,Kepler,299.0,,0.14,,G4 V,5638.0,0.93,0.81,730.625,293.2609013,44.8688656,super-earth
Kepler-690 b,Kepler-690,7.748094374,0.07934339470219759,5.95,,,transit-kepler,2016,Kepler,,,,,,5913.0,1.16,1.11,1665.31,294.4899225,39.7714758,sub-neptune
Kepler-691 b,Kepler-691,8.114379,0.06395414037093021,2.09,,,transit-kepler,2016,Kepler,,,,,,3715.0,0.5,0.53,279.115,288.8117314,40.0332311,sub-neptune
Kepler-692 b,Kepler-692,21.81293494,0.14751293002830215,3.11,,,transit-kepler,2016,Kepler,,,,,,5440.0,0.86,0.9,991.336,294.7768068,40.1537027,neptune-like
Kepler-693 b,Kepler-693,15.37563332,0.11043321689424429,10.18,,,transit-kepler,2016,Kepler,,,,,,4881.0,0.72,0.76,1151.51,283.253527,40.3582155,cold-jupiter
Kepler-694 b,Kepler-694,6.365841612,0.06654278615304218,2.8,,,transit-kepler,2016,Kepler,,,,,,5700.0,0.95,0.97,1023.06,291.1495269,40.4204569,neptune-like
Kepler-695 b,Kepler-695,3.040330424,0.03875372643568527,9.21,,,transit-kepler,2016,Kepler,,,,,,5181.0,0.8,0.84,842.947,299.3160934,40.8223815,hot-jupiter
Kepler-696 b,Kepler-696,4.190425575,0.051865737752624146,6.14,,,transit-kepler,2016,Kepler,,,,,,5903.0,1.08,1.06,1416.44,293.4965906,41.1375635,sub-neptune
Kepler-697 b,Kepler-697,3.709870645,0.04561506562821446,4.13,,,transit-kepler,2016,Kepler,,,,,,5513.0,0.88,0.92,1277.33,283.8643937,41.3463859,neptune-like
Kepler-698 b,Kepler-698,16.32976218,0.12339636734441847,3.68,,,transit-kepler,2016,Kepler,,,,,,5612.0,0.91,0.94,1995.57,288.5099994,41.3017465,neptune-like
Kepler-7 b,Kepler-7,4.8854892,0.06067,18.180998,140.16303,Mass,transit-kepler,2009,Kepler,1630.0,0.14,,,,5933.0,1.966,1.359,922.562,288.5814928,41.0897335,hot-jupiter
Kepler-700 b,Kepler-700,80.8720639,0.36353611351040416,5.99,,,transit-kepler,2016,Kepler,,,,,,5692.0,0.96,0.98,1491.76,287.154224,41.5657775,sub-neptune
Kepler-701 b,Kepler-701,10.35533177,0.08909980482969306,2.84,,,transit-kepler,2016,Kepler,,,,,,5343.0,0.84,0.88,774.152,288.99418,41.6333125,neptune-like
Kepler-702 b,Kepler-702,10.526294063,0.09075509567451828,9.17,,,transit-kepler,2016,Kepler,,,,,,5419.0,0.86,0.9,992.071,293.8781041,41.6617245,cold-jupiter
Kepler-703 b,Kepler-703,4.583521756,0.05706459212260987,8.2,,,transit-kepler,2016,Kepler,,,,,,6185.0,1.27,1.18,1156.83,299.1868586,41.742699,hot-jupiter
Kepler-704 b,Kepler-704,3.76182115,0.04685930657171914,2.61,,,transit-kepler,2016,Kepler,,,,,,5616.0,0.96,0.97,1228.83,283.3163671,41.8370942,neptune-like
Kepler-705 b,Kepler-705,56.0560538,0.23197801130060605,2.11,,,transit-kepler,2016,Kepler,,,,,,3722.0,0.51,0.53,276.881,289.5085612,41.8120234,sub-neptune
Kepler-707 b,Kepler-707,2.237492751,0.031079756236811425,1.33,,,transit-kepler,2016,Kepler,,,,,,5099.0,0.76,0.8,591.776,290.007564,42.1164698,super-earth
Kepler-708 b,Kepler-708,3.167891938,0.041787270151868235,2.93,,,transit-kepler,2016,Kepler,,,,,,5692.0,0.96,0.97,1394.22,293.8164588,42.2125159,neptune-like
Kepler-709 b,Kepler-709,16.08524954,0.11576796017081131,2.92,,,transit-kepler,2016,Kepler,,,,,,5071.0,0.77,0.8,664.843,292.105272,42.3803077,neptune-like
Kepler-710 b,Kepler-710,4.347285527,0.05106553798887269,1.88,,,transit-kepler,2016,Kepler,,,,,,5611.0,0.91,0.94,1448.34,291.9641255,42.6961308,super-earth
Kepler-711 b,Kepler-711,23.58914398,0.15188249860611397,3.41,,,transit-kepler,2016,Kepler,,,,,,5222.0,0.8,0.84,624.575,297.4600468,42.8398172,neptune-like
Kepler-712 b,Kepler-712,21.02247699,0.1406551169446679,3.41,,,transit-kepler,2016,Kepler,,,,,,5148.0,0.78,0.84,872.493,294.9096739,42.9351987,neptune-like
Kepler-712 c,Kepler-712,226.89047,0.6869267815910949,4.85,,,transit-kepler,2016,Kepler,,,,,,5148.0,0.78,0.84,872.493,294.9096739,42.9351987,sub-neptune
Kepler-713 b,Kepler-713,7.411141,0.07389333357543015,2.48,,,transit-kepler,2016,Kepler,,,,,,5785.0,0.99,0.98,1089.87,295.6513819,43.0297781,neptune-like
Kepler-714 b,Kepler-714,8.098887986,0.08122672524842382,9.67,,,transit-kepler,2016,Kepler,,,,,,5995.0,1.12,1.09,2083.37,282.6994685,43.2727437,hot-jupiter
Kepler-715 b,Kepler-715,10.00652995,0.09207462591893618,3.75,,,transit-kepler,2016,Kepler,,,,,,5871.0,1.04,1.04,1327.44,283.6307971,43.3793638,neptune-like
Kepler-716 b,Kepler-716,10.37168453,0.08747126624068907,2.9,,,transit-kepler,2016,Kepler,,,,,,5099.0,0.78,0.83,635.009,290.3931809,43.3638577,neptune-like
Kepler-716 c,Kepler-716,3.96999,0.046113224284479316,1.39281536,,,transit-kepler,2020,Kepler,,,,,,5012.0,0.742183,0.83,635.009,290.3931809,43.3638577,super-earth
Kepler-717 b,Kepler-717,4.40840023,0.05042215679376872,2.42,,,transit-kepler,2016,Kepler,,,,,,5485.0,0.85,0.88,2805.48,292.9655071,43.346345,neptune-like
Kepler-718 b,Kepler-718,2.052349905,0.033399101972575736,16.56,,,transit-kepler,2016,Kepler,,,,,,6191.0,1.3,1.18,1302.33,299.5618676,43.5035173,hot-jupiter
Kepler-719 b,Kepler-719,5.007317779,0.0570893394052142,8.52,,,transit-kepler,2016,Kepler,,,,,,5777.0,0.98,0.99,2497.51,295.5360628,43.8844116,hot-jupiter
Kepler-720 b,Kepler-720,4.708326542,0.05404540416092558,8.41,,,transit-kepler,2016,Kepler,,,,,,5618.0,0.92,0.95,1065.37,298.6356478,44.1709388,hot-jupiter
Kepler-721 b,Kepler-721,5.392025388,0.05632645512105783,2.64,,,transit-kepler,2016,Kepler,,,,,,5075.0,0.78,0.82,926.598,284.4305132,44.4803776,neptune-like
Kepler-722 b,Kepler-722,4.093573252,0.05057710527093888,2.63,,,transit-kepler,2016,Kepler,,,,,,5863.0,1.05,1.03,1239.5,290.2632874,44.5564051,neptune-like
Kepler-722 c,Kepler-722,105.144749,0.4402952337896908,2.82,,,transit-kepler,2016,Kepler,,,,,,5863.0,1.05,1.03,1239.5,290.2632874,44.5564051,neptune-like
Kepler-723 b,Kepler-723,4.082275068,0.04861877018087243,12.19,,,transit-kepler,2016,Kepler,,,,,,5539.0,0.89,0.92,1071.8,284.8304434,44.6580932,hot-jupiter
Kepler-724 b,Kepler-724,3.314946338,0.04200861420023677,3.29,,,transit-kepler,2016,Kepler,,,,,,5437.0,0.86,0.9,853.119,293.4548441,44.7927823,neptune-like
Kepler-725 b,Kepler-725,39.64372,0.2238,10.8,,,transit-kepler,2016,Kepler,514.0,,0.231,12.1,,5395.0,0.88,0.95,758.469,283.9774949,44.8115613,cold-jupiter
Kepler-725 c,Kepler-725,207.541,0.6744,,9.7,Mass,transit-other,2025,Kepler,268.0,,0.436,1.4,,5395.0,0.88,0.95,758.469,283.9774949,44.8115613,super-earth
Kepler-726 b,Kepler-726,21.80451088,0.14637434801806118,3.26,,,transit-kepler,2016,Kepler,,,,,,5452.0,0.85,0.88,762.081,291.7172776,44.8873466,neptune-like
Kepler-727 b,Kepler-727,5.154484417,0.056172877710146306,2.53,,,transit-kepler,2016,Kepler,,,,,,5441.0,0.86,0.89,831.842,294.8469333,45.0344155,neptune-like
Kepler-728 b,Kepler-728,5.743477265,0.06170177478445384,3.34,,,transit-kepler,2016,Kepler,,,,,,5660.0,0.93,0.95,1765.23,291.0923621,45.1155087,neptune-like
Kepler-729 b,Kepler-729,3.166353714,0.04133856724931985,3.58,,,transit-kepler,2016,Kepler,,,,,,5633.0,0.91,0.94,1921.15,286.3600604,45.4142664,neptune-like
Kepler-730 b,Kepler-730,6.491682808,0.0694,12.3299,,,transit-kepler,2016,Kepler,1219.0,,,,,5620.0,1.411,1.047,1935.04,285.5547895,45.578842,hot-jupiter
Kepler-730 c,Kepler-730,2.85188338,0.03997,1.56926,,,transit-kepler,2018,Kepler,1607.0,,,,,5620.0,1.411,1.047,1935.04,285.5547895,45.578842,super-earth
Kepler-731 b,Kepler-731,3.855603551,0.048597490053947694,13.88,,,transit-kepler,2016,Kepler,,,,,,5849.0,1.06,1.03,1257.16,296.3931945,45.568533,hot-jupiter
Kepler-732 b,Kepler-732,9.467814048,0.0690512730879156,2.18,,,transit-kepler,2016,Kepler,,,,,,3631.0,0.46,0.49,174.826,283.7317274,45.9585288,neptune-like
Kepler-732 c,Kepler-732,0.893041236,0.014308240086137765,1.27,,,transit-kepler,2016,Kepler,,,,,,3631.0,0.46,0.49,174.826,283.7317274,45.9585288,super-earth
Kepler-733 b,Kepler-733,20.83424726,0.1430669206076393,2.82,,,transit-kepler,2016,Kepler,,,,,,5418.0,0.86,0.9,916.706,293.0181882,45.9147063,neptune-like
Kepler-734 b,Kepler-734,6.104852856,0.06192456425971797,3.56,,,transit-kepler,2016,Kepler,,,,,,5326.0,0.78,0.85,1157.21,297.0456122,46.0273893,neptune-like
Kepler-735 b,Kepler-735,11.51516988,0.09453509357321292,2.95,,,transit-kepler,2016,Kepler,,,,,,5107.0,0.8,0.85,695.059,284.6888328,46.1721391,neptune-like
Kepler-736 b,Kepler-736,3.60147201,0.043727974717989275,2.93,,,transit-kepler,2016,Kepler,,,,,,5217.0,0.81,0.86,1005.43,285.3913092,46.1809293,neptune-like
Kepler-737 b,Kepler-737,28.59915399,0.14622850269960802,1.96,,,transit-kepler,2016,Kepler,,,,,,3813.0,0.48,0.51,205.118,291.8629793,46.4291614,super-earth
Kepler-738 b,Kepler-738,24.58721573,0.1573664816803088,2.5,,,transit-kepler,2016,Kepler,,,,,,5327.0,0.82,0.86,1113.65,287.5696516,46.5679011,neptune-like
Kepler-739 b,Kepler-739,12.53248465,0.10306842051184845,3.32,,,transit-kepler,2016,Kepler,,,,,,5601.0,0.9,0.93,1370.65,290.067994,46.5791535,neptune-like
Kepler-74 b,Kepler-74,7.340711,0.0781,10.76,200.22,Mass,transit-kepler,2013,Kepler,1078.0,0.88,0.0,,F8 V,6000.0,1.12,1.18,1177.55,293.0925275,41.3555095,hot-jupiter
Kepler-740 b,Kepler-740,3.584101216,0.04441610708904781,4.57,,,transit-kepler,2016,Kepler,,,,,,5438.0,0.87,0.91,1442.02,286.4822566,46.692456,neptune-like
Kepler-741 b,Kepler-741,7.03902374,0.07552675052619424,2.97,,,transit-kepler,2016,Kepler,,,,,,6129.0,1.24,1.16,1661.87,289.4317294,46.6174978,neptune-like
Kepler-742 b,Kepler-742,8.360868238,0.07357189920950494,3.24,,,transit-kepler,2016,Kepler,,,,,,4642.0,0.71,0.76,489.253,283.8659676,46.7896522,neptune-like
Kepler-743 b,Kepler-743,3.179262921,0.041450849117140365,1.21,,,transit-kepler,2016,Kepler,,,,,,5486.0,0.85,0.94,278.987,295.57423,42.8064255,rocky
Kepler-744 b,Kepler-744,12.06222443,0.10083254710542028,1.62,,,transit-kepler,2016,Kepler,,,,,,5594.0,0.93,0.94,449.964,296.4960493,47.1827848,super-earth
Kepler-745 b,Kepler-745,9.93143556,0.09161339610442026,2.16,,,transit-kepler,2016,Kepler,,,,,,5849.0,1.04,1.04,1780.38,291.4994412,37.0592571,neptune-like
Kepler-746 b,Kepler-746,3.48159251,0.043565122606873605,1.11,,,transit-kepler,2016,Kepler,,,,,,5418.0,0.93,0.91,,290.6822097,37.3551593,rocky
Kepler-748 b,Kepler-748,7.40742793,0.07606404190633133,2.52,,,transit-kepler,2016,Kepler,,,,,,5934.0,1.1,1.07,1705.99,292.2628779,37.2369732,neptune-like
Kepler-749 b,Kepler-749,17.31716585,0.12109701132613289,3.1,,,transit-kepler,2016,Kepler,,,,,,5009.0,0.75,0.79,721.027,299.8973341,43.9040667,neptune-like
Kepler-75 b,Kepler-75,8.8849116,0.0818,11.77,3209.9,Mass,transit-kepler,2013,Kepler,767.0,11.0,0.57,,K0 V,5200.0,0.89,0.91,835.356,291.1376203,36.5773443,hot-jupiter
Kepler-750 b,Kepler-750,9.42887179,0.09151219041676768,3.07,,,transit-kepler,2016,Kepler,,,,,,6160.0,1.23,1.15,1296.02,289.0968274,44.004364,neptune-like
Kepler-750 c,Kepler-750,4.08899022,0.05243040087257861,1.62,,,transit-kepler,2016,Kepler,,,,,,6160.0,1.23,1.15,1296.02,289.0968274,44.004364,super-earth
Kepler-751 b,Kepler-751,17.44490636,0.12566819083689268,2.46,,,transit-kepler,2016,Kepler,,,,,,5387.0,0.84,0.87,760.43,294.8438103,44.0776872,neptune-like
Kepler-752 b,Kepler-752,18.82747265,0.13222318615672835,2.81,,,transit-kepler,2016,Kepler,,,,,,5373.0,0.83,0.87,1232.29,292.2681469,37.955672,neptune-like
Kepler-753 b,Kepler-753,5.747725012,0.055221323238561194,1.91,,,transit-kepler,2016,Kepler,,,,,,4346.0,0.65,0.68,274.767,291.9032411,37.9023677,super-earth
Kepler-754 b,Kepler-754,14.5596237,0.11898034916073402,2.01,,,transit-kepler,2016,Kepler,,,,,,5935.0,1.08,1.06,1770.27,293.2541121,37.8461519,sub-neptune
Kepler-755 b,Kepler-755,1.269090374,0.021472016607869807,1.76,,,transit-kepler,2016,Kepler,,,,,,5043.0,0.77,0.82,399.034,296.8609348,41.0973178,super-earth
Kepler-755 c,Kepler-755,2.853133644,0.03684901452096409,1.26,,,transit-kepler,2016,Kepler,,,,,,5043.0,0.77,0.82,399.034,296.8609348,41.0973178,super-earth
Kepler-756 b,Kepler-756,1.224866322,0.02097024946415351,1.12,,,transit-kepler,2016,Kepler,,,,,,5282.0,0.79,0.82,,290.6079736,41.201094,rocky
Kepler-757 b,Kepler-757,1.022678821,0.02038170963341529,1.36,,,transit-kepler,2016,Kepler,,,,,,6014.0,1.13,1.08,1068.68,296.6804876,41.3865279,super-earth
Kepler-758 b,Kepler-758,12.1097104,0.10843804640696948,2.48,,,transit-kepler,2016,Kepler,,,,,,6228.0,1.42,1.16,1502.32,293.0846115,41.1354049,neptune-like
Kepler-758 c,Kepler-758,4.75793986,0.05817081460108025,1.69,,,transit-kepler,2016,Kepler,,,,,,6228.0,1.42,1.16,1502.32,293.0846115,41.1354049,super-earth
Kepler-758 d,Kepler-758,20.4966197,0.15400944014500678,2.12,,,transit-kepler,2016,Kepler,,,,,,6228.0,1.42,1.16,1502.32,293.0846115,41.1354049,sub-neptune
Kepler-758 e,Kepler-758,8.1934719,0.08357399428638335,1.53,,,transit-kepler,2016,Kepler,,,,,,6228.0,1.42,1.16,1502.32,293.0846115,41.1354049,super-earth
Kepler-759 b,Kepler-759,41.805985,0.23884158080761062,2.27,,,transit-kepler,2016,Kepler,,,,,,5860.0,1.04,1.04,1073.48,290.1314231,41.3814345,neptune-like
Kepler-76 b,Kepler-76,1.5449298,0.0274,15.24424,638.8383,Mass,other,2013,Kepler,2140.0,1.1,,,,6409.0,1.32,1.2,822.96,294.1921185,39.6189727,hot-jupiter
Kepler-760 b,Kepler-760,8.70419416,0.07965668567839147,3.06,,,transit-kepler,2016,Kepler,,,,,,5322.0,0.85,0.89,792.336,287.5931997,44.1794278,neptune-like
Kepler-760 c,Kepler-760,2.46697439,0.034370006413111574,1.48,,,transit-kepler,2016,Kepler,,,,,,5322.0,0.85,0.89,792.336,287.5931997,44.1794278,super-earth
Kepler-761 b,Kepler-761,10.12804789,0.09005991847800335,2.03,,,transit-kepler,2016,Kepler,,,,,,5706.0,0.93,0.95,830.707,290.503599,44.1436249,sub-neptune
Kepler-762 b,Kepler-762,3.770552098,0.048340570248497056,12.68,,,transit-kepler,2016,Kepler,,,,,,5944.0,1.08,1.06,1898.26,291.2756631,47.3295107,hot-jupiter
Kepler-763 b,Kepler-763,1.19655156,0.020812322989740274,1.22,,,transit-kepler,2016,Kepler,,,,,,5166.0,0.8,0.84,962.459,292.1445534,47.1573604,rocky
